Descriptor name,Description
AATS1are,averaged moreau-broto autocorrelation of lag 1 weighted by allred-rocow EN
AATS2are,averaged moreau-broto autocorrelation of lag 2 weighted by allred-rocow EN
AATS3are,averaged moreau-broto autocorrelation of lag 3 weighted by allred-rocow EN
AATS4are,averaged moreau-broto autocorrelation of lag 4 weighted by allred-rocow EN
AATS5are,averaged moreau-broto autocorrelation of lag 5 weighted by allred-rocow EN
AATS6are,averaged moreau-broto autocorrelation of lag 6 weighted by allred-rocow EN
AATS7are,averaged moreau-broto autocorrelation of lag 7 weighted by allred-rocow EN
AATS8are,averaged moreau-broto autocorrelation of lag 8 weighted by allred-rocow EN
AATS0p,averaged moreau-broto autocorrelation of lag 0 weighted by polarizability
AATS1p,averaged moreau-broto autocorrelation of lag 1 weighted by polarizability
AATS2p,averaged moreau-broto autocorrelation of lag 2 weighted by polarizability
AATS3p,averaged moreau-broto autocorrelation of lag 3 weighted by polarizability
AATS4p,averaged moreau-broto autocorrelation of lag 4 weighted by polarizability
AATS5p,averaged moreau-broto autocorrelation of lag 5 weighted by polarizability
AATS6p,averaged moreau-broto autocorrelation of lag 6 weighted by polarizability
AATS7p,averaged moreau-broto autocorrelation of lag 7 weighted by polarizability
AATS8p,averaged moreau-broto autocorrelation of lag 8 weighted by polarizability
AATS0i,averaged moreau-broto autocorrelation of lag 0 weighted by ionization potential
AATS1i,averaged moreau-broto autocorrelation of lag 1 weighted by ionization potential
AATS2i,averaged moreau-broto autocorrelation of lag 2 weighted by ionization potential
AATS3i,averaged moreau-broto autocorrelation of lag 3 weighted by ionization potential
AATS4i,averaged moreau-broto autocorrelation of lag 4 weighted by ionization potential
AATS5i,averaged moreau-broto autocorrelation of lag 5 weighted by ionization potential
AATS6i,averaged moreau-broto autocorrelation of lag 6 weighted by ionization potential
AATS7i,averaged moreau-broto autocorrelation of lag 7 weighted by ionization potential
AATS8i,averaged moreau-broto autocorrelation of lag 8 weighted by ionization potential
ATSC0c,centered moreau-broto autocorrelation of lag 0 weighted by gasteiger charge
ATSC1c,centered moreau-broto autocorrelation of lag 1 weighted by gasteiger charge
ATSC2c,centered moreau-broto autocorrelation of lag 2 weighted by gasteiger charge
ATSC3c,centered moreau-broto autocorrelation of lag 3 weighted by gasteiger charge
ATSC4c,centered moreau-broto autocorrelation of lag 4 weighted by gasteiger charge
ATSC5c,centered moreau-broto autocorrelation of lag 5 weighted by gasteiger charge
ATSC6c,centered moreau-broto autocorrelation of lag 6 weighted by gasteiger charge
ATSC7c,centered moreau-broto autocorrelation of lag 7 weighted by gasteiger charge
ATSC8c,centered moreau-broto autocorrelation of lag 8 weighted by gasteiger charge
ATSC0dv,centered moreau-broto autocorrelation of lag 0 weighted by valence electrons
ATSC1dv,centered moreau-broto autocorrelation of lag 1 weighted by valence electrons
ATSC2dv,centered moreau-broto autocorrelation of lag 2 weighted by valence electrons
ATSC3dv,centered moreau-broto autocorrelation of lag 3 weighted by valence electrons
ATSC4dv,centered moreau-broto autocorrelation of lag 4 weighted by valence electrons
ATSC5dv,centered moreau-broto autocorrelation of lag 5 weighted by valence electrons
ATSC6dv,centered moreau-broto autocorrelation of lag 6 weighted by valence electrons
ATSC7dv,centered moreau-broto autocorrelation of lag 7 weighted by valence electrons
ATSC8dv,centered moreau-broto autocorrelation of lag 8 weighted by valence electrons
ATSC0d,centered moreau-broto autocorrelation of lag 0 weighted by sigma electrons
ATSC1d,centered moreau-broto autocorrelation of lag 1 weighted by sigma electrons
ATSC2d,centered moreau-broto autocorrelation of lag 2 weighted by sigma electrons
ATSC3d,centered moreau-broto autocorrelation of lag 3 weighted by sigma electrons
ATSC4d,centered moreau-broto autocorrelation of lag 4 weighted by sigma electrons
ATSC5d,centered moreau-broto autocorrelation of lag 5 weighted by sigma electrons
ATSC6d,centered moreau-broto autocorrelation of lag 6 weighted by sigma electrons
ATSC7d,centered moreau-broto autocorrelation of lag 7 weighted by sigma electrons
ATSC8d,centered moreau-broto autocorrelation of lag 8 weighted by sigma electrons
ATSC0s,centered moreau-broto autocorrelation of lag 0 weighted by intrinsic state
ATSC1s,centered moreau-broto autocorrelation of lag 1 weighted by intrinsic state
ATSC2s,centered moreau-broto autocorrelation of lag 2 weighted by intrinsic state
ATSC3s,centered moreau-broto autocorrelation of lag 3 weighted by intrinsic state
ATSC4s,centered moreau-broto autocorrelation of lag 4 weighted by intrinsic state
ATSC5s,centered moreau-broto autocorrelation of lag 5 weighted by intrinsic state
ATSC6s,centered moreau-broto autocorrelation of lag 6 weighted by intrinsic state
ATSC7s,centered moreau-broto autocorrelation of lag 7 weighted by intrinsic state
ATSC8s,centered moreau-broto autocorrelation of lag 8 weighted by intrinsic state
ATSC0Z,centered moreau-broto autocorrelation of lag 0 weighted by atomic number
ATSC1Z,centered moreau-broto autocorrelation of lag 1 weighted by atomic number
ATSC2Z,centered moreau-broto autocorrelation of lag 2 weighted by atomic number
ATSC3Z,centered moreau-broto autocorrelation of lag 3 weighted by atomic number
ATSC4Z,centered moreau-broto autocorrelation of lag 4 weighted by atomic number
ATSC5Z,centered moreau-broto autocorrelation of lag 5 weighted by atomic number
ATSC6Z,centered moreau-broto autocorrelation of lag 6 weighted by atomic number
ATSC7Z,centered moreau-broto autocorrelation of lag 7 weighted by atomic number
ATSC8Z,centered moreau-broto autocorrelation of lag 8 weighted by atomic number
ATSC0m,centered moreau-broto autocorrelation of lag 0 weighted by mass
ATSC1m,centered moreau-broto autocorrelation of lag 1 weighted by mass
ATSC2m,centered moreau-broto autocorrelation of lag 2 weighted by mass
ATSC3m,centered moreau-broto autocorrelation of lag 3 weighted by mass
ATSC4m,centered moreau-broto autocorrelation of lag 4 weighted by mass
ATSC5m,centered moreau-broto autocorrelation of lag 5 weighted by mass
ATSC6m,centered moreau-broto autocorrelation of lag 6 weighted by mass
ATSC7m,centered moreau-broto autocorrelation of lag 7 weighted by mass
ATSC8m,centered moreau-broto autocorrelation of lag 8 weighted by mass
ATSC0v,centered moreau-broto autocorrelation of lag 0 weighted by vdw volume
ATSC1v,centered moreau-broto autocorrelation of lag 1 weighted by vdw volume
ATSC2v,centered moreau-broto autocorrelation of lag 2 weighted by vdw volume
ATSC3v,centered moreau-broto autocorrelation of lag 3 weighted by vdw volume
ATSC4v,centered moreau-broto autocorrelation of lag 4 weighted by vdw volume
ATSC5v,centered moreau-broto autocorrelation of lag 5 weighted by vdw volume
ATSC6v,centered moreau-broto autocorrelation of lag 6 weighted by vdw volume
ATSC7v,centered moreau-broto autocorrelation of lag 7 weighted by vdw volume
ATSC8v,centered moreau-broto autocorrelation of lag 8 weighted by vdw volume
ATSC0se,centered moreau-broto autocorrelation of lag 0 weighted by sanderson EN
ATSC1se,centered moreau-broto autocorrelation of lag 1 weighted by sanderson EN
ATSC2se,centered moreau-broto autocorrelation of lag 2 weighted by sanderson EN
ATSC3se,centered moreau-broto autocorrelation of lag 3 weighted by sanderson EN
ATSC4se,centered moreau-broto autocorrelation of lag 4 weighted by sanderson EN
ATSC5se,centered moreau-broto autocorrelation of lag 5 weighted by sanderson EN
ATSC6se,centered moreau-broto autocorrelation of lag 6 weighted by sanderson EN
ATSC7se,centered moreau-broto autocorrelation of lag 7 weighted by sanderson EN
ATSC8se,centered moreau-broto autocorrelation of lag 8 weighted by sanderson EN
ATSC0pe,centered moreau-broto autocorrelation of lag 0 weighted by pauling EN
ATSC1pe,centered moreau-broto autocorrelation of lag 1 weighted by pauling EN
ATSC2pe,centered moreau-broto autocorrelation of lag 2 weighted by pauling EN
ATSC3pe,centered moreau-broto autocorrelation of lag 3 weighted by pauling EN
ATSC4pe,centered moreau-broto autocorrelation of lag 4 weighted by pauling EN
ATSC5pe,centered moreau-broto autocorrelation of lag 5 weighted by pauling EN
ATSC6pe,centered moreau-broto autocorrelation of lag 6 weighted by pauling EN
ATSC7pe,centered moreau-broto autocorrelation of lag 7 weighted by pauling EN
ATSC8pe,centered moreau-broto autocorrelation of lag 8 weighted by pauling EN
ATSC0are,centered moreau-broto autocorrelation of lag 0 weighted by allred-rocow EN
ATSC1are,centered moreau-broto autocorrelation of lag 1 weighted by allred-rocow EN
ATSC2are,centered moreau-broto autocorrelation of lag 2 weighted by allred-rocow EN
ATSC3are,centered moreau-broto autocorrelation of lag 3 weighted by allred-rocow EN
ATSC4are,centered moreau-broto autocorrelation of lag 4 weighted by allred-rocow EN
ATSC5are,centered moreau-broto autocorrelation of lag 5 weighted by allred-rocow EN
ATSC6are,centered moreau-broto autocorrelation of lag 6 weighted by allred-rocow EN
ATSC7are,centered moreau-broto autocorrelation of lag 7 weighted by allred-rocow EN
ATSC8are,centered moreau-broto autocorrelation of lag 8 weighted by allred-rocow EN
ATSC0p,centered moreau-broto autocorrelation of lag 0 weighted by polarizability
ATSC1p,centered moreau-broto autocorrelation of lag 1 weighted by polarizability
ATSC2p,centered moreau-broto autocorrelation of lag 2 weighted by polarizability
ATSC3p,centered moreau-broto autocorrelation of lag 3 weighted by polarizability
ATSC4p,centered moreau-broto autocorrelation of lag 4 weighted by polarizability
ATSC5p,centered moreau-broto autocorrelation of lag 5 weighted by polarizability
ATSC6p,centered moreau-broto autocorrelation of lag 6 weighted by polarizability
ATSC7p,centered moreau-broto autocorrelation of lag 7 weighted by polarizability
ATSC8p,centered moreau-broto autocorrelation of lag 8 weighted by polarizability
ATSC0i,centered moreau-broto autocorrelation of lag 0 weighted by ionization potential
ATSC1i,centered moreau-broto autocorrelation of lag 1 weighted by ionization potential
ATSC2i,centered moreau-broto autocorrelation of lag 2 weighted by ionization potential
ATSC3i,centered moreau-broto autocorrelation of lag 3 weighted by ionization potential
ATSC4i,centered moreau-broto autocorrelation of lag 4 weighted by ionization potential
ATSC5i,centered moreau-broto autocorrelation of lag 5 weighted by ionization potential
ATSC6i,centered moreau-broto autocorrelation of lag 6 weighted by ionization potential
ATSC7i,centered moreau-broto autocorrelation of lag 7 weighted by ionization potential
ATSC8i,centered moreau-broto autocorrelation of lag 8 weighted by ionization potential
AATSC0c,averaged and centered moreau-broto autocorrelation of lag 0 weighted by gasteiger charge
AATSC1c,averaged and centered moreau-broto autocorrelation of lag 1 weighted by gasteiger charge
AATSC2c,averaged and centered moreau-broto autocorrelation of lag 2 weighted by gasteiger charge
AATSC3c,averaged and centered moreau-broto autocorrelation of lag 3 weighted by gasteiger charge
AATSC4c,averaged and centered moreau-broto autocorrelation of lag 4 weighted by gasteiger charge
AATSC5c,averaged and centered moreau-broto autocorrelation of lag 5 weighted by gasteiger charge
AATSC6c,averaged and centered moreau-broto autocorrelation of lag 6 weighted by gasteiger charge
AATSC7c,averaged and centered moreau-broto autocorrelation of lag 7 weighted by gasteiger charge
AATSC8c,averaged and centered moreau-broto autocorrelation of lag 8 weighted by gasteiger charge
AATSC0dv,averaged and centered moreau-broto autocorrelation of lag 0 weighted by valence electrons
AATSC1dv,averaged and centered moreau-broto autocorrelation of lag 1 weighted by valence electrons
AATSC2dv,averaged and centered moreau-broto autocorrelation of lag 2 weighted by valence electrons
AATSC3dv,averaged and centered moreau-broto autocorrelation of lag 3 weighted by valence electrons
AATSC4dv,averaged and centered moreau-broto autocorrelation of lag 4 weighted by valence electrons
AATSC5dv,averaged and centered moreau-broto autocorrelation of lag 5 weighted by valence electrons
AATSC6dv,averaged and centered moreau-broto autocorrelation of lag 6 weighted by valence electrons
AATSC7dv,averaged and centered moreau-broto autocorrelation of lag 7 weighted by valence electrons
AATSC8dv,averaged and centered moreau-broto autocorrelation of lag 8 weighted by valence electrons
AATSC0d,averaged and centered moreau-broto autocorrelation of lag 0 weighted by sigma electrons
AATSC1d,averaged and centered moreau-broto autocorrelation of lag 1 weighted by sigma electrons
AATSC2d,averaged and centered moreau-broto autocorrelation of lag 2 weighted by sigma electrons
AATSC3d,averaged and centered moreau-broto autocorrelation of lag 3 weighted by sigma electrons
AATSC4d,averaged and centered moreau-broto autocorrelation of lag 4 weighted by sigma electrons
AATSC5d,averaged and centered moreau-broto autocorrelation of lag 5 weighted by sigma electrons
AATSC6d,averaged and centered moreau-broto autocorrelation of lag 6 weighted by sigma electrons
AATSC7d,averaged and centered moreau-broto autocorrelation of lag 7 weighted by sigma electrons
AATSC8d,averaged and centered moreau-broto autocorrelation of lag 8 weighted by sigma electrons
AATSC0s,averaged and centered moreau-broto autocorrelation of lag 0 weighted by intrinsic state
AATSC1s,averaged and centered moreau-broto autocorrelation of lag 1 weighted by intrinsic state
AATSC2s,averaged and centered moreau-broto autocorrelation of lag 2 weighted by intrinsic state
AATSC3s,averaged and centered moreau-broto autocorrelation of lag 3 weighted by intrinsic state
AATSC4s,averaged and centered moreau-broto autocorrelation of lag 4 weighted by intrinsic state
AATSC5s,averaged and centered moreau-broto autocorrelation of lag 5 weighted by intrinsic state
AATSC6s,averaged and centered moreau-broto autocorrelation of lag 6 weighted by intrinsic state
AATSC7s,averaged and centered moreau-broto autocorrelation of lag 7 weighted by intrinsic state
AATSC8s,averaged and centered moreau-broto autocorrelation of lag 8 weighted by intrinsic state
AATSC0Z,averaged and centered moreau-broto autocorrelation of lag 0 weighted by atomic number
AATSC1Z,averaged and centered moreau-broto autocorrelation of lag 1 weighted by atomic number
AATSC2Z,averaged and centered moreau-broto autocorrelation of lag 2 weighted by atomic number
AATSC3Z,averaged and centered moreau-broto autocorrelation of lag 3 weighted by atomic number
AATSC4Z,averaged and centered moreau-broto autocorrelation of lag 4 weighted by atomic number
AATSC5Z,averaged and centered moreau-broto autocorrelation of lag 5 weighted by atomic number
AATSC6Z,averaged and centered moreau-broto autocorrelation of lag 6 weighted by atomic number
AATSC7Z,averaged and centered moreau-broto autocorrelation of lag 7 weighted by atomic number
AATSC8Z,averaged and centered moreau-broto autocorrelation of lag 8 weighted by atomic number
AATSC0m,averaged and centered moreau-broto autocorrelation of lag 0 weighted by mass
AATSC1m,averaged and centered moreau-broto autocorrelation of lag 1 weighted by mass
AATSC2m,averaged and centered moreau-broto autocorrelation of lag 2 weighted by mass
AATSC3m,averaged and centered moreau-broto autocorrelation of lag 3 weighted by mass
AATSC4m,averaged and centered moreau-broto autocorrelation of lag 4 weighted by mass
AATSC5m,averaged and centered moreau-broto autocorrelation of lag 5 weighted by mass
AATSC6m,averaged and centered moreau-broto autocorrelation of lag 6 weighted by mass
AATSC7m,averaged and centered moreau-broto autocorrelation of lag 7 weighted by mass
AATSC8m,averaged and centered moreau-broto autocorrelation of lag 8 weighted by mass
AATSC0v,averaged and centered moreau-broto autocorrelation of lag 0 weighted by vdw volume
AATSC1v,averaged and centered moreau-broto autocorrelation of lag 1 weighted by vdw volume
AATSC2v,averaged and centered moreau-broto autocorrelation of lag 2 weighted by vdw volume
AATSC3v,averaged and centered moreau-broto autocorrelation of lag 3 weighted by vdw volume
AATSC4v,averaged and centered moreau-broto autocorrelation of lag 4 weighted by vdw volume
AATSC5v,averaged and centered moreau-broto autocorrelation of lag 5 weighted by vdw volume
AATSC6v,averaged and centered moreau-broto autocorrelation of lag 6 weighted by vdw volume
AATSC7v,averaged and centered moreau-broto autocorrelation of lag 7 weighted by vdw volume
AATSC8v,averaged and centered moreau-broto autocorrelation of lag 8 weighted by vdw volume
AATSC0se,averaged and centered moreau-broto autocorrelation of lag 0 weighted by sanderson EN
AATSC1se,averaged and centered moreau-broto autocorrelation of lag 1 weighted by sanderson EN
AATSC2se,averaged and centered moreau-broto autocorrelation of lag 2 weighted by sanderson EN
AATSC3se,averaged and centered moreau-broto autocorrelation of lag 3 weighted by sanderson EN
AATSC4se,averaged and centered moreau-broto autocorrelation of lag 4 weighted by sanderson EN
AATSC5se,averaged and centered moreau-broto autocorrelation of lag 5 weighted by sanderson EN
AATSC6se,averaged and centered moreau-broto autocorrelation of lag 6 weighted by sanderson EN
AATSC7se,averaged and centered moreau-broto autocorrelation of lag 7 weighted by sanderson EN
AATSC8se,averaged and centered moreau-broto autocorrelation of lag 8 weighted by sanderson EN
AATSC0pe,averaged and centered moreau-broto autocorrelation of lag 0 weighted by pauling EN
AATSC1pe,averaged and centered moreau-broto autocorrelation of lag 1 weighted by pauling EN
AATSC2pe,averaged and centered moreau-broto autocorrelation of lag 2 weighted by pauling EN
AATSC3pe,averaged and centered moreau-broto autocorrelation of lag 3 weighted by pauling EN
AATSC4pe,averaged and centered moreau-broto autocorrelation of lag 4 weighted by pauling EN
AATSC5pe,averaged and centered moreau-broto autocorrelation of lag 5 weighted by pauling EN
AATSC6pe,averaged and centered moreau-broto autocorrelation of lag 6 weighted by pauling EN
AATSC7pe,averaged and centered moreau-broto autocorrelation of lag 7 weighted by pauling EN
AATSC8pe,averaged and centered moreau-broto autocorrelation of lag 8 weighted by pauling EN
AATSC0are,averaged and centered moreau-broto autocorrelation of lag 0 weighted by allred-rocow EN
AATSC1are,averaged and centered moreau-broto autocorrelation of lag 1 weighted by allred-rocow EN
AATSC2are,averaged and centered moreau-broto autocorrelation of lag 2 weighted by allred-rocow EN
AATSC3are,averaged and centered moreau-broto autocorrelation of lag 3 weighted by allred-rocow EN
AATSC4are,averaged and centered moreau-broto autocorrelation of lag 4 weighted by allred-rocow EN
AATSC5are,averaged and centered moreau-broto autocorrelation of lag 5 weighted by allred-rocow EN
AATSC6are,averaged and centered moreau-broto autocorrelation of lag 6 weighted by allred-rocow EN
AATSC7are,averaged and centered moreau-broto autocorrelation of lag 7 weighted by allred-rocow EN
AATSC8are,averaged and centered moreau-broto autocorrelation of lag 8 weighted by allred-rocow EN
AATSC0p,averaged and centered moreau-broto autocorrelation of lag 0 weighted by polarizability
AATSC1p,averaged and centered moreau-broto autocorrelation of lag 1 weighted by polarizability
AATSC2p,averaged and centered moreau-broto autocorrelation of lag 2 weighted by polarizability
AATSC3p,averaged and centered moreau-broto autocorrelation of lag 3 weighted by polarizability
AATSC4p,averaged and centered moreau-broto autocorrelation of lag 4 weighted by polarizability
AATSC5p,averaged and centered moreau-broto autocorrelation of lag 5 weighted by polarizability
AATSC6p,averaged and centered moreau-broto autocorrelation of lag 6 weighted by polarizability
AATSC7p,averaged and centered moreau-broto autocorrelation of lag 7 weighted by polarizability
AATSC8p,averaged and centered moreau-broto autocorrelation of lag 8 weighted by polarizability
AATSC0i,averaged and centered moreau-broto autocorrelation of lag 0 weighted by ionization potential
AATSC1i,averaged and centered moreau-broto autocorrelation of lag 1 weighted by ionization potential
AATSC2i,averaged and centered moreau-broto autocorrelation of lag 2 weighted by ionization potential
AATSC3i,averaged and centered moreau-broto autocorrelation of lag 3 weighted by ionization potential
AATSC4i,averaged and centered moreau-broto autocorrelation of lag 4 weighted by ionization potential
AATSC5i,averaged and centered moreau-broto autocorrelation of lag 5 weighted by ionization potential
AATSC6i,averaged and centered moreau-broto autocorrelation of lag 6 weighted by ionization potential
AATSC7i,averaged and centered moreau-broto autocorrelation of lag 7 weighted by ionization potential
AATSC8i,averaged and centered moreau-broto autocorrelation of lag 8 weighted by ionization potential
MATS1c,moran coefficient of lag 1 weighted by gasteiger charge
MATS2c,moran coefficient of lag 2 weighted by gasteiger charge
MATS3c,moran coefficient of lag 3 weighted by gasteiger charge
MATS4c,moran coefficient of lag 4 weighted by gasteiger charge
MATS5c,moran coefficient of lag 5 weighted by gasteiger charge
MATS6c,moran coefficient of lag 6 weighted by gasteiger charge
MATS7c,moran coefficient of lag 7 weighted by gasteiger charge
MATS8c,moran coefficient of lag 8 weighted by gasteiger charge
MATS1dv,moran coefficient of lag 1 weighted by valence electrons
MATS2dv,moran coefficient of lag 2 weighted by valence electrons
MATS3dv,moran coefficient of lag 3 weighted by valence electrons
MATS4dv,moran coefficient of lag 4 weighted by valence electrons
MATS5dv,moran coefficient of lag 5 weighted by valence electrons
MATS6dv,moran coefficient of lag 6 weighted by valence electrons
MATS7dv,moran coefficient of lag 7 weighted by valence electrons
MATS8dv,moran coefficient of lag 8 weighted by valence electrons
MATS1d,moran coefficient of lag 1 weighted by sigma electrons
MATS2d,moran coefficient of lag 2 weighted by sigma electrons
MATS3d,moran coefficient of lag 3 weighted by sigma electrons
MATS4d,moran coefficient of lag 4 weighted by sigma electrons
MATS5d,moran coefficient of lag 5 weighted by sigma electrons
MATS6d,moran coefficient of lag 6 weighted by sigma electrons
MATS7d,moran coefficient of lag 7 weighted by sigma electrons
MATS8d,moran coefficient of lag 8 weighted by sigma electrons
MATS1s,moran coefficient of lag 1 weighted by intrinsic state
MATS2s,moran coefficient of lag 2 weighted by intrinsic state
MATS3s,moran coefficient of lag 3 weighted by intrinsic state
MATS4s,moran coefficient of lag 4 weighted by intrinsic state
MATS5s,moran coefficient of lag 5 weighted by intrinsic state
MATS6s,moran coefficient of lag 6 weighted by intrinsic state
MATS7s,moran coefficient of lag 7 weighted by intrinsic state
MATS8s,moran coefficient of lag 8 weighted by intrinsic state
MATS1Z,moran coefficient of lag 1 weighted by atomic number
MATS2Z,moran coefficient of lag 2 weighted by atomic number
MATS3Z,moran coefficient of lag 3 weighted by atomic number
MATS4Z,moran coefficient of lag 4 weighted by atomic number
MATS5Z,moran coefficient of lag 5 weighted by atomic number
MATS6Z,moran coefficient of lag 6 weighted by atomic number
MATS7Z,moran coefficient of lag 7 weighted by atomic number
MATS8Z,moran coefficient of lag 8 weighted by atomic number
MATS1m,moran coefficient of lag 1 weighted by mass
MATS2m,moran coefficient of lag 2 weighted by mass
MATS3m,moran coefficient of lag 3 weighted by mass
MATS4m,moran coefficient of lag 4 weighted by mass
MATS5m,moran coefficient of lag 5 weighted by mass
MATS6m,moran coefficient of lag 6 weighted by mass
MATS7m,moran coefficient of lag 7 weighted by mass
MATS8m,moran coefficient of lag 8 weighted by mass
MATS1v,moran coefficient of lag 1 weighted by vdw volume
MATS2v,moran coefficient of lag 2 weighted by vdw volume
MATS3v,moran coefficient of lag 3 weighted by vdw volume
MATS4v,moran coefficient of lag 4 weighted by vdw volume
MATS5v,moran coefficient of lag 5 weighted by vdw volume
MATS6v,moran coefficient of lag 6 weighted by vdw volume
MATS7v,moran coefficient of lag 7 weighted by vdw volume
MATS8v,moran coefficient of lag 8 weighted by vdw volume
MATS1se,moran coefficient of lag 1 weighted by sanderson EN
MATS2se,moran coefficient of lag 2 weighted by sanderson EN
MATS3se,moran coefficient of lag 3 weighted by sanderson EN
MATS4se,moran coefficient of lag 4 weighted by sanderson EN
MATS5se,moran coefficient of lag 5 weighted by sanderson EN
MATS6se,moran coefficient of lag 6 weighted by sanderson EN
MATS7se,moran coefficient of lag 7 weighted by sanderson EN
MATS8se,moran coefficient of lag 8 weighted by sanderson EN
MATS1pe,moran coefficient of lag 1 weighted by pauling EN
MATS2pe,moran coefficient of lag 2 weighted by pauling EN
MATS3pe,moran coefficient of lag 3 weighted by pauling EN
MATS4pe,moran coefficient of lag 4 weighted by pauling EN
MATS5pe,moran coefficient of lag 5 weighted by pauling EN
MATS6pe,moran coefficient of lag 6 weighted by pauling EN
MATS7pe,moran coefficient of lag 7 weighted by pauling EN
MATS8pe,moran coefficient of lag 8 weighted by pauling EN
MATS1are,moran coefficient of lag 1 weighted by allred-rocow EN
MATS2are,moran coefficient of lag 2 weighted by allred-rocow EN
MATS3are,moran coefficient of lag 3 weighted by allred-rocow EN
MATS4are,moran coefficient of lag 4 weighted by allred-rocow EN
MATS5are,moran coefficient of lag 5 weighted by allred-rocow EN
MATS6are,moran coefficient of lag 6 weighted by allred-rocow EN
MATS7are,moran coefficient of lag 7 weighted by allred-rocow EN
MATS8are,moran coefficient of lag 8 weighted by allred-rocow EN
MATS1p,moran coefficient of lag 1 weighted by polarizability
MATS2p,moran coefficient of lag 2 weighted by polarizability
MATS3p,moran coefficient of lag 3 weighted by polarizability
MATS4p,moran coefficient of lag 4 weighted by polarizability
MATS5p,moran coefficient of lag 5 weighted by polarizability
MATS6p,moran coefficient of lag 6 weighted by polarizability
MATS7p,moran coefficient of lag 7 weighted by polarizability
MATS8p,moran coefficient of lag 8 weighted by polarizability
MATS1i,moran coefficient of lag 1 weighted by ionization potential
MATS2i,moran coefficient of lag 2 weighted by ionization potential
MATS3i,moran coefficient of lag 3 weighted by ionization potential
MATS4i,moran coefficient of lag 4 weighted by ionization potential
MATS5i,moran coefficient of lag 5 weighted by ionization potential
MATS6i,moran coefficient of lag 6 weighted by ionization potential
MATS7i,moran coefficient of lag 7 weighted by ionization potential
MATS8i,moran coefficient of lag 8 weighted by ionization potential
GATS1c,geary coefficient of lag 1 weighted by gasteiger charge
GATS2c,geary coefficient of lag 2 weighted by gasteiger charge
GATS3c,geary coefficient of lag 3 weighted by gasteiger charge
GATS4c,geary coefficient of lag 4 weighted by gasteiger charge
GATS5c,geary coefficient of lag 5 weighted by gasteiger charge
GATS6c,geary coefficient of lag 6 weighted by gasteiger charge
GATS7c,geary coefficient of lag 7 weighted by gasteiger charge
GATS8c,geary coefficient of lag 8 weighted by gasteiger charge
GATS1dv,geary coefficient of lag 1 weighted by valence electrons
GATS2dv,geary coefficient of lag 2 weighted by valence electrons
GATS3dv,geary coefficient of lag 3 weighted by valence electrons
GATS4dv,geary coefficient of lag 4 weighted by valence electrons
GATS5dv,geary coefficient of lag 5 weighted by valence electrons
GATS6dv,geary coefficient of lag 6 weighted by valence electrons
GATS7dv,geary coefficient of lag 7 weighted by valence electrons
GATS8dv,geary coefficient of lag 8 weighted by valence electrons
GATS1d,geary coefficient of lag 1 weighted by sigma electrons
GATS2d,geary coefficient of lag 2 weighted by sigma electrons
GATS3d,geary coefficient of lag 3 weighted by sigma electrons
GATS4d,geary coefficient of lag 4 weighted by sigma electrons
GATS5d,geary coefficient of lag 5 weighted by sigma electrons
GATS6d,geary coefficient of lag 6 weighted by sigma electrons
GATS7d,geary coefficient of lag 7 weighted by sigma electrons
GATS8d,geary coefficient of lag 8 weighted by sigma electrons
GATS1s,geary coefficient of lag 1 weighted by intrinsic state
GATS2s,geary coefficient of lag 2 weighted by intrinsic state
GATS3s,geary coefficient of lag 3 weighted by intrinsic state
GATS4s,geary coefficient of lag 4 weighted by intrinsic state
GATS5s,geary coefficient of lag 5 weighted by intrinsic state
GATS6s,geary coefficient of lag 6 weighted by intrinsic state
GATS7s,geary coefficient of lag 7 weighted by intrinsic state
GATS8s,geary coefficient of lag 8 weighted by intrinsic state
GATS1Z,geary coefficient of lag 1 weighted by atomic number
GATS2Z,geary coefficient of lag 2 weighted by atomic number
GATS3Z,geary coefficient of lag 3 weighted by atomic number
GATS4Z,geary coefficient of lag 4 weighted by atomic number
GATS5Z,geary coefficient of lag 5 weighted by atomic number
GATS6Z,geary coefficient of lag 6 weighted by atomic number
GATS7Z,geary coefficient of lag 7 weighted by atomic number
GATS8Z,geary coefficient of lag 8 weighted by atomic number
GATS1m,geary coefficient of lag 1 weighted by mass
GATS2m,geary coefficient of lag 2 weighted by mass
GATS3m,geary coefficient of lag 3 weighted by mass
GATS4m,geary coefficient of lag 4 weighted by mass
GATS5m,geary coefficient of lag 5 weighted by mass
GATS6m,geary coefficient of lag 6 weighted by mass
GATS7m,geary coefficient of lag 7 weighted by mass
GATS8m,geary coefficient of lag 8 weighted by mass
GATS1v,geary coefficient of lag 1 weighted by vdw volume
GATS2v,geary coefficient of lag 2 weighted by vdw volume
GATS3v,geary coefficient of lag 3 weighted by vdw volume
GATS4v,geary coefficient of lag 4 weighted by vdw volume
GATS5v,geary coefficient of lag 5 weighted by vdw volume
GATS6v,geary coefficient of lag 6 weighted by vdw volume
GATS7v,geary coefficient of lag 7 weighted by vdw volume
GATS8v,geary coefficient of lag 8 weighted by vdw volume
GATS1se,geary coefficient of lag 1 weighted by sanderson EN
GATS2se,geary coefficient of lag 2 weighted by sanderson EN
GATS3se,geary coefficient of lag 3 weighted by sanderson EN
GATS4se,geary coefficient of lag 4 weighted by sanderson EN
GATS5se,geary coefficient of lag 5 weighted by sanderson EN
